playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties,shots_against,saves,save_pct,gsax,gsax_per_60
8477480,2021,Eric Comrie,WPG,G,all,19,61489.0,54.33,44.0,969.0,39.41,47.0,122.89,121.0,541.86,550.0,16.09,9.0,302.11,238.0,213.49,288.0,52.39,528.0,167.0,55.0,16.84,19.95,17.54,10.0,19.0,15.0,219.0,0.0,0.0,541.86,506.0,0.9338205440519691,10.329999999999998,0.010079851680788432
8473503,2021,James Reimer,SJS,G,all,48,160361.0,129.12,129.0,2818.0,103.91,102.0,335.7,354.0,1456.33,1450.0,41.44,38.0,827.87,694.0,607.77,726.0,124.54,1524.0,416.0,112.0,44.51,51.29,33.33,44.0,56.0,29.0,766.0,0.0,0.0,1456.33,1321.0,0.9070746328098714,0.12000000000000455,4.489869731418657e-05
8474593,2021,Jacob Markstrom,CGY,G,all,63,221750.0,147.84,137.0,3071.0,117.5,121.0,401.79,437.0,1725.44,1754.0,69.65,69.0,954.69,677.0,711.58,947.0,142.65,1830.0,414.0,146.0,51.52,50.84,45.49,49.0,44.0,44.0,681.0,10.0,5.0,1725.44,1617.0,0.9371522626112759,10.840000000000003,0.002933032694475762
8480045,2021,Ukko-Pekka Luukkonen,BUF,G,all,9,30184.0,22.55,23.0,481.0,16.37,23.0,56.31,54.0,243.79,277.0,6.57,17.0,139.5,115.0,102.76,172.0,21.87,323.0,53.0,17.0,10.97,6.34,5.24,11.0,5.0,7.0,88.0,0.0,0.0,243.79,254.0,1.0418803068214446,-0.4499999999999993,-0.000894513649615689
8476343,2021,Garret Sparks,LAK,G,all,2,5833.0,3.37,3.0,91.0,3.07,1.0,11.03,14.0,44.9,47.0,1.71,0.0,26.05,18.0,18.05,27.0,3.33,54.0,7.0,2.0,1.69,0.99,0.7,1.0,0.0,2.0,28.0,0.0,0.0,44.9,44.0,0.9799554565701559,0.3700000000000001,0.0038059317675295744
8476876,2021,Malcolm Subban,BUF,G,all,4,12628.0,10.89,17.0,204.0,8.21,11.0,27.59,21.0,120.94,132.0,2.76,3.0,67.64,46.0,50.5,70.0,10.08,128.0,33.0,8.0,4.44,3.91,2.54,6.0,8.0,3.0,35.0,0.0,0.0,120.94,115.0,0.9508847362328428,-6.109999999999999,-0.029030725372188784
8475920,2021,Michael Houser,BUF,G,all,2,7200.0,7.11,4.0,136.0,5.42,9.0,18.23,22.0,75.89,77.0,1.77,3.0,44.2,34.0,29.57,33.0,6.56,85.0,12.0,10.0,2.12,1.39,3.6,1.0,1.0,2.0,29.0,0.0,0.0,75.89,73.0,0.9619185663460271,3.1100000000000003,0.025916666666666668
8475717,2021,Calvin Pickard,DET,G,all,3,7538.0,5.72,9.0,108.0,4.53,4.0,14.74,14.0,64.39,72.0,2.35,4.0,37.62,33.0,26.32,31.0,5.56,69.0,19.0,3.0,2.03,2.45,1.23,2.0,6.0,1.0,17.0,0.0,0.0,64.39,63.0,0.9784127970181705,-3.2800000000000002,-0.02610772088087026
8479312,2021,Alex Lyon,CAR,G,all,2,7369.0,6.13,6.0,111.0,4.83,7.0,15.72,14.0,70.39,65.0,1.92,1.0,37.53,35.0,27.55,28.0,5.94,69.0,20.0,5.0,1.97,2.39,1.77,1.0,2.0,3.0,17.0,0.0,0.0,70.39,59.0,0.8381872425060378,0.1299999999999999,0.0010584882616365848
8471774,2021,Alex Stalock,SJS,G,all,1,2767.0,2.46,6.0,46.0,2.06,2.0,6.71,7.0,28.22,28.0,0.57,0.0,15.8,11.0,12.04,14.0,2.4,29.0,10.0,1.0,0.77,1.39,0.3,2.0,3.0,1.0,6.0,0.0,0.0,28.22,22.0,0.7795889440113395,-3.54,-0.07676183592338273
8471418,2021,Anton Khudobin,DAL,G,all,9,27748.0,19.57,28.0,429.0,16.19,9.0,48.91,65.0,221.37,232.0,7.18,15.0,130.0,103.0,91.15,102.0,18.67,233.0,67.0,13.0,7.28,8.2,4.08,10.0,11.0,7.0,116.0,0.0,0.0,221.37,204.0,0.9215340832091069,-8.43,-0.018228340781317572
