team,season,total_icetime,total_games,total_shots_against,total_saves,total_gsax,num_goalies,team_save_pct,team_gsax_per_60
DAL,2023,296023.0,87.0,2481.84,2118.0,-5.380000000000016,3.0,0.8533990909970022,-0.0010904558091769927
DAL,2024,294874.0,85.0,2609.5,2160.0,26.510000000000005,2.0,0.8277447786932363,0.00539416835665403
DAL,2025,58232.0,16.0,497.53000000000003,398.0,3.3100000000000023,2.0,0.7999517617028118,0.003410495947245503
DET,2021,295479.0,94.0,2666.0799999999995,2452.0,-24.19000000000001,4.0,0.9197023345135932,-0.004912024204765822
DET,2022,299353.0,89.0,2544.38,2250.0,-27.439999999999998,3.0,0.8843018731478788,-0.005499861367682969
DET,2023,295335.0,89.0,2782.68,2384.0,-3.099999999999984,4.0,0.8567280463438125,-0.0006297932855909359
DET,2024,379615.0,116.0,3363.42,2761.0,0.870000000000017,4.0,0.820890641073669,0.0001375077381030808
DET,2025,57991.0,17.0,480.89,381.0,3.469999999999999,2.0,0.7922809790180707,0.0035902122743184275
EDM,2021,296565.0,86.0,2564.5099999999998,2396.0,1.3999999999999986,3.0,0.9342915410741234,0.00028324313388295965
EDM,2022,295914.0,87.0,2523.41,2317.0,-11.52,3.0,0.918201956875815,-0.002335813783734463
EDM,2023,295469.0,87.0,2368.91,2071.0,-1.4800000000000075,3.0,0.8742417398719242,-0.0003005391428542434
EDM,2024,294095.0,89.0,2346.6400000000003,1976.0,-11.260000000000014,3.0,0.842055023352538,-0.002297216885700202
EDM,2025,58261.0,17.0,463.06000000000006,353.0,-1.0999999999999979,2.0,0.7623202176823737,-0.0011328332847015993
FLA,2021,318535.0,97.0,2584.61,2450.0,12.719999999999981,3.0,0.9479186414971698,0.0023959690457877434
FLA,2022,293778.0,86.0,2571.77,2332.0,9.249999999999993,3.0,0.9067684901838033,0.0018891816269427921
FLA,2023,295241.0,85.0,2361.35,2082.0,35.620000000000005,2.0,0.8816990280983336,0.007238832005039951
FLA,2024,275617.0,79.0,2284.8199999999997,1887.0,-1.289999999999992,2.0,0.825885627751858,-0.0002808244774451486
